# Synthetic cluster and field from the UPMASK validation set.
# From:
# UPMASK: unsupervised photometric membership assignment in stellar clusters
# Krone-Martins, A., & Moitinho, A. 2014, A&A, 561, A57
#
RAJ2000;DECJ2000;Umag;Bmag;Vmag;Rmag;Imag;flag
543.770812;449.432900;17.105;16.726;15.772;15.226;14.681;0
451.517948;364.158084;17.065;16.660;15.702;15.181;14.612;0
533.713116;551.515716;17.038;16.668;15.730;15.200;14.615;0
467.457564;432.110980;16.948;16.584;15.649;15.171;14.598;0
493.328156;400.533412;17.034;16.572;15.701;15.166;14.575;0
402.603324;469.143492;16.956;16.630;15.677;15.150;14.585;0
424.702588;408.706500;16.881;16.579;15.674;15.116;14.565;0
447.070428;419.212644;16.892;16.510;15.674;15.125;14.570;0
396.605596;381.915428;16.854;16.581;15.635;15.079;14.539;0
413.015484;360.490596;16.894;16.541;15.616;15.038;14.558;0
470.404508;350.004516;16.803;16.447;15.603;15.095;14.577;0
415.341500;392.262116;16.827;16.540;15.555;15.026;14.507;0
440.329276;441.347812;16.782;16.517;15.558;15.010;14.508;0
473.450012;532.051172;16.725;16.478;15.549;15.016;14.499;0
416.784348;455.254628;16.763;16.414;15.505;15.010;14.473;0
689.130972;325.403236;16.792;16.380;15.474;15.002;14.454;0
473.424316;290.518980;16.792;16.373;15.425;14.956;14.427;0
581.824124;317.104484;16.683;16.371;15.481;14.978;14.405;0
477.790172;428.498756;16.716;16.382;15.442;14.928;14.402;0
436.890236;526.357924;16.647;16.351;15.462;14.907;14.391;0
584.078684;370.319492;16.594;16.303;15.458;14.923;14.377;0
484.740764;420.434788;16.585;16.289;15.360;14.884;14.373;0
366.785916;423.038884;16.475;16.285;15.380;14.860;14.368;0
485.274044;361.382212;16.512;16.241;15.344;14.818;14.372;0
483.332412;467.992804;16.537;16.243;15.337;14.819;14.338;0
275.756252;352.041188;16.548;16.193;15.364;14.821;14.313;0
450.449276;305.951716;16.417;16.151;15.303;14.777;14.313;0
403.684316;311.678404;16.460;16.183;15.334;14.769;14.303;0
489.647292;371.948548;16.461;16.171;15.265;14.793;14.271;0
239.727292;242.482948;16.416;16.153;15.307;14.755;14.262;0
424.084476;404.888356;16.348;16.080;15.237;14.755;14.238;0
378.770460;430.412932;16.395;16.079;15.264;14.665;14.180;0
522.055932;408.121476;16.298;16.089;15.185;14.707;14.176;0
510.036540;320.390756;16.374;16.020;15.235;14.687;14.181;0
420.065692;376.799460;16.292;16.003;15.204;14.660;14.128;0
452.244476;401.368356;16.235;15.967;15.172;14.647;14.188;0
453.670428;388.218340;16.203;15.973;15.135;14.645;14.179;0
441.918204;281.950244;16.176;15.942;15.114;14.641;14.110;0
453.328636;355.159908;16.175;15.966;15.119;14.621;14.116;0
544.317820;357.314852;16.170;15.855;15.052;14.529;14.116;0
461.961788;387.457668;16.184;15.878;15.109;14.626;14.111;0
474.269820;342.913124;16.199;15.954;15.078;14.577;14.120;0
353.726364;265.049668;16.054;15.823;15.055;14.592;14.049;0
433.840156;454.547812;16.133;15.858;15.013;14.535;14.063;0
364.421180;280.696068;15.989;15.901;15.014;14.512;13.996;0
491.489308;436.483524;16.014;15.836;14.981;14.512;14.017;0
427.641084;340.924324;16.079;15.805;15.011;14.516;14.043;0
465.933052;334.750948;16.025;15.821;14.986;14.512;14.002;0
420.761948;419.958180;15.996;15.789;14.968;14.458;14.013;0
428.595708;297.442116;15.912;15.749;14.923;14.478;13.964;0
441.142396;389.686884;15.926;15.714;14.958;14.441;13.980;0
457.999676;422.369732;15.945;15.714;14.953;14.450;13.965;0
448.123260;339.998212;15.953;15.746;14.918;14.403;13.942;0
483.588316;422.096228;15.872;15.665;14.883;14.392;13.948;0
452.478908;442.559396;15.846;15.665;14.875;14.390;13.941;0
511.097116;316.512420;15.914;15.615;14.853;14.373;13.907;0
412.446652;376.479140;15.777;15.577;14.813;14.339;13.868;0
457.539612;380.263844;15.892;15.580;14.804;14.329;13.860;0
419.869628;330.410084;15.803;15.627;14.816;14.343;13.853;0
502.273532;388.729092;15.730;15.571;14.787;14.313;13.842;0
258.321340;288.418596;15.725;15.560;14.763;14.307;13.836;0
463.994588;497.345028;15.734;15.510;14.746;14.301;13.802;0
414.273532;375.352036;15.741;15.522;14.741;14.229;13.805;0
424.404092;415.796132;15.686;15.466;14.688;14.244;13.801;0
527.360220;279.360580;15.666;15.464;14.660;14.217;13.713;0
435.666684;368.133572;15.626;15.444;14.668;14.205;13.716;0
508.068156;351.085508;15.598;15.372;14.677;14.195;13.698;0
581.209884;318.655748;15.642;15.444;14.667;14.182;13.722;0
412.591324;352.919780;15.596;15.393;14.645;14.133;13.720;0
509.741212;381.689796;15.560;15.331;14.641;14.145;13.692;0
506.332796;439.513188;15.562;15.395;14.551;14.169;13.695;0
493.460860;372.367780;15.516;15.331;14.602;14.106;13.649;0
467.072476;428.318884;15.487;15.337;14.534;14.108;13.647;0
410.651804;399.817092;15.507;15.277;14.525;14.106;13.620;0
398.674300;383.673316;15.458;15.312;14.503;14.117;13.595;0
419.927004;433.113124;15.410;15.240;14.508;14.100;13.632;0
448.714620;481.137540;15.446;15.217;14.497;14.062;13.593;0
320.877020;376.062020;15.383;15.188;14.482;14.071;13.598;0
528.471836;503.645476;15.377;15.165;14.450;14.018;13.568;0
523.342140;442.055332;15.349;15.161;14.433;14.013;13.559;0
501.015484;457.734468;15.291;15.166;14.417;13.992;13.542;0
443.508540;479.736932;15.348;15.088;14.355;13.967;13.542;0
346.067548;400.344740;15.307;15.083;14.345;13.942;13.517;0
513.093660;588.230724;15.304;15.068;14.350;13.941;13.494;0
450.644284;292.965732;15.202;15.041;14.345;13.931;13.490;0
481.414716;355.480228;15.202;15.004;14.291;13.944;13.450;0
609.254076;452.628708;15.182;15.009;14.287;13.867;13.439;0
507.569372;352.509700;15.143;14.961;14.260;13.867;13.439;0
563.931260;401.652068;15.189;14.981;14.281;13.852;13.412;0
420.675004;474.873700;15.157;14.944;14.253;13.889;13.390;0
438.025788;382.901380;15.186;14.913;14.223;13.816;13.402;0
517.355324;411.455972;15.091;14.975;14.245;13.827;13.405;0
449.435164;377.249668;15.088;14.865;14.222;13.800;13.387;0
465.253692;362.967268;15.062;14.849;14.191;13.748;13.353;0
564.424412;218.289988;15.045;14.838;14.176;13.787;13.354;0
391.519548;404.460676;15.053;14.792;14.161;13.759;13.330;0
369.072156;409.609732;15.013;14.788;14.187;13.722;13.326;0
408.191324;258.693604;14.987;14.771;14.101;13.734;13.305;0
610.300220;311.078948;14.998;14.732;14.091;13.690;13.292;0
415.987068;344.355972;14.962;14.722;14.103;13.689;13.294;0
467.738108;300.675236;14.915;14.724;14.053;13.663;13.269;0
416.875516;367.199716;14.891;14.670;14.044;13.654;13.274;0
465.995004;458.694724;14.902;14.619;13.999;13.616;13.236;0
509.347676;362.049252;14.842;14.627;14.022;13.607;13.237;0
395.548892;380.084324;14.812;14.620;14.019;13.605;13.203;0
405.323228;583.018660;14.840;14.604;13.969;13.602;13.193;0
300.496924;429.533988;14.772;14.636;13.937;13.563;13.200;0
503.483708;405.064004;14.783;14.598;13.936;13.566;13.158;0
473.031484;377.677348;14.749;14.540;13.914;13.534;13.167;0
470.249628;462.020420;14.731;14.474;13.885;13.562;13.161;0
463.088892;350.796868;14.704;14.509;13.878;13.529;13.109;0
483.333116;340.598724;14.702;14.459;13.823;13.492;13.095;0
552.700348;384.245316;14.692;14.452;13.832;13.470;13.093;0
410.398364;478.032548;14.673;14.421;13.824;13.443;13.081;0
424.637468;361.704644;14.651;14.372;13.779;13.454;13.039;0
444.956316;446.369796;14.595;14.389;13.757;13.396;13.069;0
367.928860;366.866372;14.577;14.389;13.792;13.431;13.042;0
361.282044;314.492644;14.571;14.283;13.708;13.388;13.019;0
473.123004;430.876164;14.531;14.282;13.700;13.382;12.997;0
404.296796;353.096484;14.526;14.272;13.679;13.351;13.006;0
585.806300;378.669636;14.491;14.270;13.665;13.353;12.985;0
424.888444;389.783332;14.470;14.234;13.667;13.322;12.942;0
477.549404;420.970532;14.422;14.234;13.629;13.314;12.951;0
387.913660;419.492836;14.385;14.127;13.608;13.312;12.942;0
459.390780;312.860420;14.388;14.129;13.603;13.291;12.900;0
350.373916;440.712452;14.399;14.145;13.585;13.253;12.926;0
346.338588;342.633284;14.343;14.099;13.561;13.224;12.931;0
271.352028;572.005284;14.337;14.025;13.537;13.231;12.906;0
446.956380;217.685604;14.314;14.066;13.519;13.191;12.872;0
445.092188;434.012836;14.309;14.037;13.516;13.186;12.860;0
467.122460;322.590756;14.267;14.023;13.495;13.190;12.845;0
482.892412;516.936996;14.264;13.970;13.465;13.139;12.862;0
500.538172;390.985412;14.232;13.944;13.425;13.147;12.820;0
424.904284;382.963684;14.232;13.956;13.411;13.123;12.800;0
471.164124;283.599364;14.181;13.910;13.415;13.116;12.769;0
364.352188;363.608612;14.156;13.848;13.402;13.116;12.791;0
456.423772;333.134564;14.115;13.890;13.360;13.080;12.785;0
347.046460;335.053316;14.109;13.842;13.354;13.074;12.773;0
408.971708;397.549156;14.073;13.832;13.288;13.041;12.752;0
412.438908;426.370564;14.088;13.784;13.295;13.050;12.733;0
418.828764;486.609380;14.080;13.774;13.263;13.028;12.721;0
560.391196;407.464292;14.019;13.751;13.298;13.014;12.689;0
399.769020;413.402884;14.019;13.706;13.257;12.974;12.710;0
425.611452;327.653924;14.002;13.640;13.237;12.967;12.676;0
424.252732;367.648516;13.965;13.667;13.187;12.964;12.649;0
346.789852;338.156900;13.891;13.682;13.201;12.934;12.641;0
474.671804;466.352836;13.911;13.642;13.143;12.906;12.652;0
488.971100;409.593540;13.906;13.613;13.167;12.904;12.605;0
396.760828;412.250788;13.869;13.577;13.146;12.881;12.591;0
445.604348;434.413060;13.844;13.557;13.130;12.881;12.611;0
537.280636;373.852164;13.838;13.549;13.105;12.855;12.577;0
400.641276;371.737700;13.786;13.552;13.056;12.856;12.568;0
410.744028;369.259620;13.776;13.507;13.044;12.843;12.549;0
514.437948;487.635108;13.722;13.469;13.049;12.774;12.538;0
479.546300;386.836388;13.729;13.428;13.020;12.806;12.545;0
377.600764;382.418084;13.716;13.421;13.011;12.764;12.483;0
609.763068;375.374564;13.674;13.393;12.975;12.767;12.493;0
377.764444;378.185988;13.696;13.343;12.964;12.745;12.466;0
379.576540;273.449796;13.630;13.351;12.959;12.716;12.489;0
462.853404;347.676740;13.637;13.319;12.923;12.679;12.469;0
439.650268;378.943844;13.549;13.293;12.898;12.708;12.426;0
328.285212;448.282212;13.566;13.288;12.902;12.657;12.462;0
427.118012;253.714564;13.551;13.258;12.912;12.653;12.413;0
441.283548;405.964420;13.510;13.235;12.855;12.667;12.421;0
501.738140;453.502724;13.482;13.175;12.847;12.638;12.375;0
507.773532;425.209316;13.484;13.172;12.814;12.628;12.409;0
429.386300;420.328132;13.426;13.164;12.799;12.614;12.337;0
407.682684;454.182788;13.430;13.183;12.773;12.605;12.355;0
367.009788;373.606820;13.377;13.108;12.773;12.592;12.339;0
423.732828;392.657060;13.383;13.122;12.760;12.571;12.314;0
293.178140;458.877412;13.333;13.082;12.732;12.537;12.322;0
538.605916;369.594020;13.332;13.096;12.717;12.528;12.287;0
481.923004;434.199396;13.260;13.096;12.707;12.505;12.286;0
367.059772;371.581764;13.259;13.041;12.684;12.471;12.272;0
519.258588;417.619844;13.275;12.992;12.643;12.476;12.242;0
459.681180;255.239076;13.189;12.980;12.652;12.460;12.250;0
367.726108;291.064932;13.195;12.977;12.640;12.449;12.226;0
337.422780;226.282148;13.151;12.947;12.636;12.423;12.200;0
384.339452;387.315108;13.097;12.923;12.620;12.415;12.196;0
575.619772;415.791556;13.111;12.922;12.574;12.402;12.193;0
427.925852;436.478596;13.100;12.885;12.554;12.366;12.154;0
439.924476;353.300996;13.038;12.844;12.567;12.370;12.108;0
359.715292;283.041796;13.061;12.844;12.505;12.335;12.163;0
619.294172;409.813188;13.017;12.796;12.503;12.304;12.106;0
307.004348;427.099908;12.989;12.779;12.452;12.288;12.110;0
354.930556;290.180004;12.971;12.773;12.478;12.284;12.068;0
482.868828;338.412100;12.905;12.713;12.442;12.286;12.086;0
468.050684;383.695140;12.924;12.742;12.398;12.262;12.035;0
554.545180;352.109476;12.890;12.721;12.418;12.249;12.054;0
521.899996;500.675300;12.817;12.707;12.386;12.224;12.026;0
424.460412;441.298884;12.804;12.700;12.387;12.197;12.007;0
485.099452;315.423684;12.773;12.658;12.358;12.215;11.985;0
415.113756;558.238564;12.767;12.639;12.327;12.174;11.972;0
484.204316;381.132932;12.752;12.626;12.322;12.156;11.969;0
431.985468;357.687620;12.728;12.586;12.296;12.177;11.923;0
437.720956;368.017412;12.693;12.565;12.283;12.118;11.936;0
410.691228;371.912292;12.656;12.550;12.259;12.120;11.894;0
508.307868;407.977860;12.623;12.517;12.244;12.078;11.887;0
365.881980;501.740100;12.607;12.469;12.241;12.056;11.859;0
462.503868;249.953444;12.572;12.492;12.204;12.024;11.849;0
403.981052;338.657092;12.527;12.427;12.187;12.040;11.842;0
488.021404;421.793156;12.477;12.434;12.166;11.992;11.808;0
461.130364;463.948676;12.487;12.419;12.125;11.987;11.774;0
400.214300;487.851236;12.445;12.404;12.083;11.967;11.753;0
391.308700;445.596452;12.436;12.359;12.100;11.919;11.764;0
463.955164;356.729828;12.377;12.323;12.078;11.931;11.707;0
376.378268;290.747076;12.390;12.310;12.045;11.904;11.707;0
394.568220;389.671044;12.354;12.268;12.046;11.907;11.710;0
491.173916;413.771780;12.326;12.263;12.025;11.861;11.677;0
379.725788;358.280740;12.293;12.257;11.964;11.836;11.667;0
484.151164;323.812548;12.243;12.237;11.997;11.838;11.633;0
471.452764;325.208228;12.246;12.177;11.946;11.823;11.627;0
437.437596;215.194852;12.167;12.179;11.926;11.789;11.617;0
478.596604;523.642596;12.175;12.151;11.929;11.770;11.585;0
462.289852;416.182980;12.093;12.161;11.888;11.739;11.559;0
402.636060;380.716516;12.117;12.118;11.899;11.703;11.556;0
499.475484;409.213380;12.063;12.087;11.821;11.687;11.478;0
412.518108;248.589796;12.031;12.035;11.819;11.681;11.513;0
575.666588;422.795652;12.043;12.040;11.798;11.655;11.479;0
556.898652;497.076452;11.963;12.006;11.752;11.629;11.460;0
347.630780;352.581860;11.932;11.956;11.727;11.595;11.428;0
447.780412;317.178756;11.913;11.965;11.727;11.541;11.396;0
412.745852;370.132932;11.867;11.916;11.700;11.538;11.360;0
487.278684;389.585860;11.825;11.918;11.674;11.546;11.363;0
499.925692;347.611268;11.765;11.872;11.630;11.474;11.333;0
446.810300;373.512484;11.756;11.838;11.612;11.481;11.304;0
625.832220;212.573508;11.713;11.794;11.583;11.434;11.259;0
504.315132;317.651140;11.696;11.778;11.553;11.435;11.239;0
492.413308;487.171172;11.655;11.744;11.521;11.370;11.214;0
484.716124;524.574692;11.599;11.731;11.506;11.358;11.195;0
634.438972;293.298372;11.586;11.691;11.474;11.319;11.160;0
409.322652;328.136516;11.537;11.653;11.448;11.331;11.151;0
321.882332;419.825476;11.487;11.637;11.450;11.318;11.116;0
398.748572;400.396132;11.449;11.602;11.388;11.263;11.082;0
421.546204;355.841380;11.424;11.586;11.355;11.197;11.071;0
476.829564;443.779780;11.364;11.536;11.349;11.200;11.018;0
451.583068;458.774276;11.305;11.510;11.291;11.163;11.010;0
359.592092;388.266212;11.304;11.474;11.281;11.153;10.991;0
345.499068;472.027780;11.242;11.437;11.250;11.111;10.951;0
440.578492;404.481092;11.216;11.404;11.215;11.070;10.911;0
571.822044;490.054052;11.185;11.386;11.176;11.026;10.885;0
441.840412;367.685476;11.128;11.350;11.151;11.010;10.838;0
451.055068;467.205380;11.109;11.323;11.118;10.949;10.830;0
437.259836;371.677860;11.051;11.276;11.070;10.950;10.798;0
532.802492;371.858084;11.033;11.258;11.050;10.936;10.764;0
495.177916;442.965956;10.996;11.203;11.026;10.863;10.737;0
344.513468;318.488900;10.925;11.173;10.988;10.846;10.704;0
232.955164;368.854820;10.887;11.145;10.922;10.817;10.667;0
422.805660;425.991812;10.823;11.088;10.917;10.773;10.631;0
458.029596;360.604996;10.783;11.048;10.880;10.729;10.582;0
354.199452;334.045540;10.734;11.033;10.839;10.722;10.555;0
480.167228;418.919076;10.698;10.977;10.786;10.674;10.517;0
496.542268;371.869700;10.642;10.949;10.752;10.643;10.488;0
520.724668;526.720484;10.585;10.888;10.711;10.599;10.441;0
466.986588;441.737476;10.535;10.872;10.664;10.551;10.409;0
443.309308;329.596260;10.481;10.800;10.631;10.507;10.361;0
441.440540;409.664996;10.433;10.745;10.580;10.450;10.327;0
450.093756;448.687012;10.369;10.718;10.535;10.422;10.274;0
449.098652;404.758116;10.319;10.652;10.487;10.377;10.222;0
445.739164;465.083524;10.260;10.626;10.450;10.329;10.168;0
562.322620;345.946308;10.200;10.552;10.397;10.263;10.117;0
489.625468;507.243620;10.120;10.506;10.341;10.203;10.083;0
510.462108;408.101764;10.055;10.427;10.288;10.177;10.024;0
360.158108;454.395748;10.005;10.361;10.217;10.119;9.973;0
544.074236;407.963076;9.935;10.277;10.151;10.047;9.901;0
484.816796;340.619492;9.858;10.256;10.089;9.995;9.838;0
437.879004;517.474852;9.776;10.181;10.028;9.924;9.801;0
373.862524;409.243652;9.704;10.106;9.973;9.848;9.745;0
370.372444;281.236036;9.612;10.059;9.896;9.788;9.653;0
446.749404;419.717764;9.541;9.972;9.811;9.719;9.604;0
520.926716;403.143492;9.445;9.897;9.734;9.618;9.531;0
473.263452;415.428292;9.349;9.777;9.648;9.550;9.414;0
434.443836;548.413540;9.249;9.689;9.546;9.414;9.323;0
405.904380;457.122692;9.150;9.584;9.454;9.335;9.232;0
499.327644;252.036228;9.000;9.480;9.330;9.238;9.106;0
346.816956;259.906244;8.872;9.353;9.230;9.114;8.988;0
